decision_id,application_id,outcome,approved_amount,rate_apr,term_months,reason_codes,decided_by,policy_version,monthly_revenue_used,dscr,decided_at,created_at
124,150,DECLINED,,,,INDUSTRY_RESTRICTED,a.castellanos,credit-policy-2025,1352064.08,2.439,2026-02-18 22:02:04.410193-05:00,2026-02-18 22:02:30.672244-05:00
125,151,COUNTER_OFFER,225000.00,27.093,48,"DSCR_OK,POLICY_EXCEPTION_APPROVED",renee.blackwell,credit-policy-2025,250032.59,2.981,2026-02-09 00:42:32.694188-05:00,2026-02-09 00:42:50.013942-05:00
126,152,COUNTER_OFFER,700000.00,21.636,48,"COLLATERAL_OK, CREDIT_OK, POLICY_EXCEPTION_APPROVED",l.nakamura,credit-policy-2024,3094585.18,2.067,2026-02-10 02:23:49.059878-05:00,2026-02-10 02:24:11.323276-05:00
127,153,APPROVED,314500.00,9.735,12,"TIB_OK, COLLATERAL_OK, REVENUE_VERIFIED",a.castellanos,credit-policy-FINAL2,474783.85,1.307,2026-02-14 13:33:50.991867-05:00,2026-02-14 13:34:06.122921-05:00
128,154,APPROVED,445000.00,15.22,36,"DSCR_OK,POLICY_EXCEPTION_APPROVED,TIB_OK",renee.blackwell,credit-policy-2025,840813.93,1.233,2026-02-08 09:49:59.763345-05:00,2026-02-08 09:50:05.236024-05:00
129,155,DECLINED,,,,"COLLATERAL_SHORTFALL,UNVERIFIED_REVENUE,EXISTING_DEBT",t.rivas,credit-policy-FINAL2,1135156.97,2.643,2026-03-22 08:42:25.885520-05:00,2026-03-22 08:42:31.276526-05:00
130,156,DECLINED,,,,"DSCR_BELOW_MIN,EXISTING_DEBT,TIME_IN_BUSINESS",d.pham,credit-policy-FINAL2,2525559.67,0.895,2026-02-14 21:20:04.910023-05:00,2026-02-14 21:20:19.102969-05:00
131,157,DECLINED,,,,"DSCR_BELOW_MIN,TIME_IN_BUSINESS",j.beaumont,credit-policy-2025,1061420.92,0.97,2026-02-09 21:38:47.480813-05:00,2026-02-09 21:39:03.973485-05:00
132,158,APPROVED,145000.00,28.047,36,"REVENUE_VERIFIED,DSCR_OK",d.pham,credit-policy-2025,275548.35,2.361,2026-02-17 21:49:06.832103-05:00,2026-02-17 21:49:27.000351-05:00
133,159,APPROVED,660000.00,10.985,36,,t.rivas,credit-policy-2025,1574456.83,1.949,2026-02-14 07:44:38.318278-05:00,2026-02-14 07:44:46.258087-05:00
134,160,DECLINED,,,,"TIME_IN_BUSINESS,REVENUE_BELOW_MIN",l.nakamura,credit-policy-FINAL2,56531.64,2.205,2026-02-18 05:20:52.394218-05:00,2026-02-18 05:20:56.416035-05:00
135,161,APPROVED,96000.00,14.994,48,"REVENUE_VERIFIED,MANUAL_OVERRIDE_RB,COLLATERAL_OK",d.pham,credit-policy-2024,189923.68,0.77,2026-02-07 19:06:18.420223-05:00,2026-02-07 19:06:25.745336-05:00
136,162,DECLINED,,,,"COLLATERAL_SHORTFALL, INDUSTRY_RESTRICTED",m.okonkwo,credit-policy-2025,472512.61,2.332,2026-02-14 10:37:25.627342-05:00,2026-02-14 10:37:35.756241-05:00
137,164,APPROVED,90000.00,14.089,24,MANUAL_OVERRIDE_RB,a.castellanos,credit-policy-2025,75024.27,1.093,2026-02-11 04:58:17.668298-05:00,2026-02-11 04:58:25.141872-05:00
138,165,APPROVED,240000.00,18.777,36,"COLLATERAL_OK,CREDIT_OK,POLICY_EXCEPTION_APPROVED",l.nakamura,credit-policy-2024,175803.45,1.179,2026-02-12 15:17:32.414504-05:00,2026-02-12 15:17:35.105410-05:00
139,166,APPROVED,161500.00,12.896,36,,c.obrien,credit-policy-2024,227979.65,2.815,2026-02-20 04:12:45.510220-05:00,2026-02-20 04:13:00.589070-05:00
140,167,DECLINED,,,,"DSCR_BELOW_MIN,UNVERIFIED_REVENUE,NSF_ACTIVITY",k.abernathy,credit-policy-2024,156978.73,2.556,2026-02-14 18:47:20.096369-05:00,2026-02-14 18:47:49.785165-05:00
141,168,DECLINED,,,,"DSCR_BELOW_MIN,NSF_ACTIVITY,TIME_IN_BUSINESS",a.castellanos,credit-policy-2025,225869.55,2.798,2026-02-11 12:03:08.467622-05:00,2026-02-11 12:03:31.518820-05:00
142,169,DECLINED,,,,"TIME_IN_BUSINESS,CREDIT_SCORE",t.rivas,credit-policy-2025,560642.65,1.5,2026-02-26 12:08:22.202472-05:00,2026-02-26 12:08:50.997508-05:00
143,170,APPROVED,24500.00,12.299,84,"DSCR_OK,CREDIT_OK,MANUAL_OVERRIDE_RB",c.obrien,credit-policy-2025,66831.97,1.953,2026-02-18 01:51:17.222022-05:00,2026-02-18 01:51:35.892150-05:00
144,171,APPROVED,100000.00,19.481,48,TIB_OK,p.deshmukh,credit-policy-2025,351687.62,3.343,2026-02-22 11:02:55.123229-05:00,2026-02-22 11:03:02.230394-05:00
145,172,DECLINED,,,,INDUSTRY_RESTRICTED,c.obrien,credit-policy-2025,173061.79,1.643,2026-02-14 02:37:56.445791-05:00,2026-02-14 02:38:13.857685-05:00
146,173,DECLINED,,,,"UNVERIFIED_REVENUE,TIME_IN_BUSINESS",k.abernathy,credit-policy-2025,169947.57,2.547,2026-02-09 02:13:26.762867-05:00,2026-02-09 02:13:38.553384-05:00
147,174,APPROVED,289000.00,9.712,84,COLLATERAL_OK,j.beaumont,credit-policy-FINAL2,255267.72,2.025,2026-02-17 17:17:53.626505-05:00,2026-02-17 17:18:13.640358-05:00
148,175,DECLINED,,,,"TIME_IN_BUSINESS,COLLATERAL_SHORTFALL,UNVERIFIED_REVENUE",renee.blackwell,credit-policy-2024,93134.86,1.866,2026-02-07 15:27:07.526050-05:00,2026-02-07 15:27:20.476555-05:00
149,177,APPROVED,311500.00,17.807,36,TIB_OK,c.obrien,credit-policy-2025,472541.34,1.116,2026-02-26 09:49:36.601467-05:00,2026-02-26 09:50:06.130982-05:00
150,178,DECLINED,,,,STACKED_DEBT,c.obrien,credit-policy-FINAL2,51852.90,0.945,2026-02-09 20:13:55.893311-05:00,2026-02-09 20:14:02.084243-05:00
151,179,DECLINED,,,,"INDUSTRY_RESTRICTED,STACKED_DEBT",a.castellanos,credit-policy-2025,86245.93,3.301,2026-02-22 03:59:47.750137-05:00,2026-02-22 03:59:53.617675-05:00
152,180,DECLINED,,,,"TIME_IN_BUSINESS,REVENUE_BELOW_MIN,",p.deshmukh,credit-policy-2025,88104.68,1.371,2026-02-06 00:12:45.226110-05:00,2026-02-06 00:12:55.238049-05:00
153,181,APPROVED,16000.00,28.499,12,"REVENUE_VERIFIED,MANUAL_OVERRIDE_RB,POLICY_EXCEPTION_APPROVED",c.obrien,credit-policy-2025,43344.04,1.744,2026-02-21 15:53:07.662417-05:00,2026-02-21 15:53:29.802184-05:00
154,182,DECLINED,,,,"STACKED_DEBT,EXISTING_DEBT",d.pham,credit-policy-2025,2046716.00,1.293,2026-02-09 05:19:37.150519-05:00,2026-02-09 05:19:39.326198-05:00
155,184,DECLINED,,,,"NSF_ACTIVITY, STACKED_DEBT, DSCR_BELOW_MIN",j.beaumont,credit-policy-2025,142136.50,2.676,2026-02-12 21:26:55.806663-05:00,2026-02-12 21:27:25.652117-05:00
156,185,APPROVED,87500.00,25.656,12,"DSCR_OK, REVENUE_VERIFIED,",renee.blackwell,credit-policy-2025,278644.68,2.28,2026-02-11 16:57:31.929768-05:00,2026-02-11 16:57:48.385215-05:00
157,187,COUNTER_OFFER,135000.00,12.218,36,"CREDIT_OK,MANUAL_OVERRIDE_RB,TIB_OK",t.rivas,credit-policy-FINAL2,210919.04,2.341,2026-02-16 07:50:02.899952-05:00,2026-02-16 07:50:08.888965-05:00
158,188,DECLINED,,,,"UNVERIFIED_REVENUE,INDUSTRY_RESTRICTED,NSF_ACTIVITY",c.obrien,credit-policy-2025,115412.81,2.5,2026-02-08 20:25:08.951062-05:00,2026-02-08 20:25:10.480288-05:00
159,190,DECLINED,,,,"NSF_ACTIVITY, COLLATERAL_SHORTFALL, TIME_IN_BUSINESS",t.rivas,credit-policy-2025,176560.80,2.819,2026-02-07 08:58:54.294270-05:00,2026-02-07 08:59:06.947441-05:00
160,192,APPROVED,38500.00,22.684,48,"DSCR_OK,REVENUE_VERIFIED",d.pham,credit-policy-2025,171398.62,1.611,2026-02-11 01:50:39.828159-05:00,2026-02-11 01:50:41.724250-05:00
161,193,APPROVED,100000.00,23.135,12,"DSCR_OK,TIB_OK",m.okonkwo,credit-policy-2024,86947.84,0.871,2026-02-17 17:00:57.931357-05:00,2026-02-17 17:01:27.025664-05:00
162,194,COUNTER_OFFER,27000.00,26.968,24,"REVENUE_VERIFIED,TIB_OK,DSCR_OK",s.whitfield,credit-policy-FINAL2,117476.21,1.155,2026-02-07 18:00:05.128596-05:00,2026-02-07 18:00:08.380377-05:00
163,195,APPROVED,56000.00,19.426,84,"COLLATERAL_OK,CREDIT_OK",j.beaumont,credit-policy-FINAL2,115501.58,2.914,2026-02-24 16:06:02.409402-05:00,2026-02-24 16:06:14.200269-05:00
164,196,APPROVED,107500.00,28.564,60,"POLICY_EXCEPTION_APPROVED, CREDIT_OK",l.nakamura,credit-policy-2025,53268.21,3.082,2026-02-15 14:15:29.820969-05:00,2026-02-15 14:15:50.214429-05:00
165,198,COUNTER_OFFER,410000.00,19.618,36,"MANUAL_OVERRIDE_RB,TIB_OK",c.obrien,credit-policy-2025,634926.39,2.196,2026-02-16 09:09:44.200588-05:00,2026-02-16 09:10:12.650569-05:00
166,199,COUNTER_OFFER,75000.00,21.891,84,"MANUAL_OVERRIDE_RB, TIB_OK, DSCR_OK",s.whitfield,credit-policy-2025,93000.90,2.973,2026-02-10 14:31:33.316388-05:00,2026-02-10 14:31:48.147089-05:00
167,200,DECLINED,,,,"TIME_IN_BUSINESS, COLLATERAL_SHORTFALL, REVENUE_BELOW_MIN,",j.beaumont,credit-policy-2024,112810.82,2.222,2026-02-07 10:34:30.029011-05:00,2026-02-07 10:34:35.861218-05:00
168,201,APPROVED,365000.00,7.981,36,TIB_OK,d.pham,credit-policy-2024,1103688.90,1.341,2026-02-11 01:17:25.718809-05:00,2026-02-11 01:17:48.981140-05:00
169,202,APPROVED,462000.00,20.801,12,"DSCR_OK,MANUAL_OVERRIDE_RB",j.beaumont,credit-policy-2025,993693.93,2.364,2026-02-15 00:54:37.242621-05:00,2026-02-15 00:54:46.402047-05:00
170,203,DECLINED,,,,"INDUSTRY_RESTRICTED,REVENUE_BELOW_MIN,DSCR_BELOW_MIN,NSF_ACTIVITY",l.nakamura,credit-policy-2025,129866.74,0.993,2026-02-21 20:31:43.408966-05:00,2026-02-21 20:31:59.895951-05:00
171,204,COUNTER_OFFER,82500.00,8.501,48,"DSCR_OK,POLICY_EXCEPTION_APPROVED",d.pham,credit-policy-2025,150972.37,2.166,2026-02-14 16:50:21.229673-05:00,2026-02-14 16:50:22.640091-05:00
172,205,APPROVED,67000.00,15.127,60,"TIB_OK, DSCR_OK",m.okonkwo,credit-policy-2025,102642.49,1.252,2026-02-19 03:57:14.388552-05:00,2026-02-19 03:57:43.468596-05:00
173,206,APPROVED,305000.00,20.518,12,DSCR_OK,p.deshmukh,credit-policy-FINAL2,447549.98,1.197,2026-02-10 23:26:07.732158-05:00,2026-02-10 23:26:35.330561-05:00
174,207,DECLINED,,,,"INDUSTRY_RESTRICTED,CREDIT_SCORE",j.beaumont,credit-policy-FINAL2,86311.29,2.609,2026-02-19 21:07:52.586724-05:00,2026-02-19 21:08:08.809503-05:00
175,208,APPROVED,49000.00,23.072,24,MANUAL_OVERRIDE_RB,a.castellanos,credit-policy-2025,182154.55,1.08,2026-03-08 05:46:53.395752-05:00,2026-03-08 05:47:11.209030-05:00
176,209,DECLINED,,,,"INDUSTRY_RESTRICTED,STACKED_DEBT,CREDIT_SCORE",j.beaumont,credit-policy-2025,148385.07,2.01,2026-02-12 11:16:11.873245-05:00,2026-02-12 11:16:39.703260-05:00
177,210,APPROVED,425000.00,24.286,36,"DSCR_OK,REVENUE_VERIFIED,COLLATERAL_OK",m.okonkwo,credit-policy-2025,1559158.29,3.337,2026-02-09 00:45:14.871957-05:00,2026-02-09 00:45:25.956596-05:00
178,211,DECLINED,,,,"UNVERIFIED_REVENUE,COLLATERAL_SHORTFALL,CREDIT_SCORE,DSCR_BELOW_MIN",a.castellanos,credit-policy-FINAL2,88664.47,1.436,2026-03-01 17:42:47.596331-05:00,2026-03-01 17:43:03.681645-05:00
179,212,DECLINED,,,,"TIME_IN_BUSINESS,CREDIT_SCORE,UNVERIFIED_REVENUE,REVENUE_BELOW_MIN",k.abernathy,credit-policy-2025,820905.27,2.832,2026-02-23 16:27:37.976911-05:00,2026-02-23 16:27:55.095853-05:00
180,213,DECLINED,,,,COLLATERAL_SHORTFALL,j.beaumont,credit-policy-2025,180501.37,1.255,2026-02-11 04:58:05.701762-05:00,2026-02-11 04:58:28.419113-05:00
181,214,DECLINED,,,,"TIME_IN_BUSINESS,REVENUE_BELOW_MIN",renee.blackwell,credit-policy-2024,168005.97,1.071,2026-03-10 05:01:19.034316-05:00,2026-03-10 05:01:35.665696-05:00
182,217,DECLINED,,,,"UNVERIFIED_REVENUE, CREDIT_SCORE, EXISTING_DEBT",p.deshmukh,credit-policy-2024,452296.82,1.656,2026-02-07 19:32:04.873039-05:00,2026-02-07 19:32:26.955631-05:00
183,218,DECLINED,,,,"EXISTING_DEBT,DSCR_BELOW_MIN,CREDIT_SCORE",d.pham,credit-policy-2025,1188065.04,2.904,2026-02-23 21:26:14.231496-05:00,2026-02-23 21:26:27.839822-05:00
184,219,APPROVED,48500.00,24.065,12,CREDIT_OK,l.nakamura,credit-policy-FINAL2,139566.42,1.866,2026-02-16 02:56:24.531654-05:00,2026-02-16 02:56:52.605457-05:00
185,220,DECLINED,,,,EXISTING_DEBT,d.pham,credit-policy-2025,396512.71,1.218,2026-02-12 04:25:49.411138-05:00,2026-02-12 04:26:16.718349-05:00
186,221,DECLINED,,,,EXISTING_DEBT,m.okonkwo,credit-policy-2025,579112.99,0.795,2026-02-15 16:15:47.835972-05:00,2026-02-15 16:16:05.624516-05:00
187,222,DECLINED,,,,"TIME_IN_BUSINESS,NSF_ACTIVITY,CREDIT_SCORE,INDUSTRY_RESTRICTED",p.deshmukh,credit-policy-2025,291223.82,1.737,2026-02-11 11:40:22.413302-05:00,2026-02-11 11:40:36.087056-05:00
188,224,DECLINED,,,,"COLLATERAL_SHORTFALL,TIME_IN_BUSINESS,EXISTING_DEBT",renee.blackwell,credit-policy-FINAL2,127308.71,2.018,2026-02-09 15:29:45.730706-05:00,2026-02-09 15:30:00.558712-05:00
189,225,DECLINED,,,,EXISTING_DEBT,m.okonkwo,credit-policy-FINAL2,60475.57,2.329,2026-02-18 09:05:40.137109-05:00,2026-02-18 09:05:58.003037-05:00
190,226,DECLINED,,,,STACKED_DEBT,m.okonkwo,credit-policy-2025,72748.75,1.571,2026-02-09 23:45:41.691786-05:00,2026-02-09 23:45:51.445932-05:00
191,227,COUNTER_OFFER,29400.00,10.197,36,"MANUAL_OVERRIDE_RB,REVENUE_VERIFIED",c.obrien,credit-policy-2025,120324.54,2.551,2026-02-28 21:42:37.359280-05:00,2026-02-28 21:42:46.154625-05:00
192,228,APPROVED,315000.00,11.813,60,MANUAL_OVERRIDE_RB,t.rivas,credit-policy-FINAL2,411717.42,1.001,2026-02-19 11:42:03.785161-05:00,2026-02-19 11:42:17.721468-05:00
193,229,APPROVED,200000.00,16.283,84,"MANUAL_OVERRIDE_RB,CREDIT_OK,DSCR_OK",k.abernathy,credit-policy-2025,235285.68,1.861,2026-02-12 01:00:48.302814-05:00,2026-02-12 01:00:51.996542-05:00
194,230,DECLINED,,,,COLLATERAL_SHORTFALL,k.abernathy,credit-policy-FINAL2,213986.75,2.525,2026-02-20 07:02:07.060706-05:00,2026-02-20 07:02:19.864742-05:00
195,231,DECLINED,,,,"COLLATERAL_SHORTFALL,EXISTING_DEBT",d.pham,credit-policy-2024,240794.76,1.572,2026-02-10 10:53:18.518905-05:00,2026-02-10 10:53:33.842646-05:00
196,233,DECLINED,,,,DSCR_BELOW_MIN,a.castellanos,credit-policy-2025,85865.32,1.835,2026-02-07 05:33:39.351971-05:00,2026-02-07 05:33:42.911025-05:00
197,235,APPROVED,29500.00,7.548,24,"COLLATERAL_OK,REVENUE_VERIFIED,DSCR_OK",k.abernathy,credit-policy-2025,171372.72,2.112,2026-02-28 21:39:12.388473-05:00,2026-02-28 21:39:25.729411-05:00
198,236,APPROVED,122500.00,19.745,12,"POLICY_EXCEPTION_APPROVED,REVENUE_VERIFIED",c.obrien,credit-policy-2025,255840.61,2.38,2026-02-18 10:24:27.115068-05:00,2026-02-18 10:24:50.198500-05:00
199,237,APPROVED,155000.00,17.906,84,"CREDIT_OK,POLICY_EXCEPTION_APPROVED",m.okonkwo,credit-policy-2025,204197.72,0.722,2026-02-14 17:25:03.124677-05:00,2026-02-14 17:25:13.212331-05:00
200,238,APPROVED,276500.00,24.973,12,"REVENUE_VERIFIED,POLICY_EXCEPTION_APPROVED",k.abernathy,credit-policy-FINAL2,698312.32,2.567,2026-02-10 04:36:19.396039-05:00,2026-02-10 04:36:35.537062-05:00
201,239,APPROVED,130000.00,11.412,84,"POLICY_EXCEPTION_APPROVED, MANUAL_OVERRIDE_RB",k.abernathy,credit-policy-2025,100634.83,2.555,2026-02-10 08:05:18.240483-05:00,2026-02-10 08:05:28.792843-05:00
202,240,APPROVED,150000.00,20.445,48,"COLLATERAL_OK, CREDIT_OK, REVENUE_VERIFIED",p.deshmukh,credit-policy-2025,270490.84,3.029,2026-02-10 10:05:51.109213-05:00,2026-02-10 10:06:07.317550-05:00
203,241,APPROVED,415000.00,26.558,12,MANUAL_OVERRIDE_RB,t.rivas,credit-policy-2025,636157.42,0.804,2026-02-23 00:59:24.208068-05:00,2026-02-23 00:59:29.395684-05:00
204,242,DECLINED,,,,"REVENUE_BELOW_MIN, UNVERIFIED_REVENUE, DSCR_BELOW_MIN, INDUSTRY_RESTRICTED",a.castellanos,credit-policy-2024,75357.51,2.731,2026-02-12 19:44:24.541444-05:00,2026-02-12 19:44:25.765689-05:00
205,243,APPROVED,145000.00,11.742,60,"REVENUE_VERIFIED,DSCR_OK,TIB_OK",a.castellanos,credit-policy-2025,170330.08,3.358,2026-02-08 14:09:31.993317-05:00,2026-02-08 14:09:42.254271-05:00
206,244,APPROVED,204000.00,10.83,48,"POLICY_EXCEPTION_APPROVED,CREDIT_OK",t.rivas,credit-policy-2025,274742.49,2.395,2026-02-18 05:17:15.504042-05:00,2026-02-18 05:17:16.660334-05:00
207,245,APPROVED,178500.00,11.197,36,COLLATERAL_OK,p.deshmukh,credit-policy-2025,501195.55,2.664,2026-02-12 15:38:38.566183-05:00,2026-02-12 15:38:58.229592-05:00
208,246,APPROVED,305000.00,23.264,60,TIB_OK,s.whitfield,credit-policy-2025,846264.07,2.66,2026-02-14 19:33:20.725358-05:00,2026-02-14 19:33:49.640951-05:00
209,247,COUNTER_OFFER,174250.00,18.613,84,DSCR_OK,j.beaumont,credit-policy-FINAL2,255905.27,1.769,2026-02-18 01:35:07.539555-05:00,2026-02-18 01:35:13.370304-05:00
210,248,DECLINED,,,,"STACKED_DEBT, DSCR_BELOW_MIN",l.nakamura,credit-policy-2025,119844.39,2.982,2026-02-11 05:00:02.802981-05:00,2026-02-11 05:00:18.992558-05:00
211,249,APPROVED,157250.00,8.879,12,"TIB_OK,REVENUE_VERIFIED",k.abernathy,credit-policy-FINAL2,261828.18,0.706,2026-02-08 23:26:57.723024-05:00,2026-02-08 23:27:11.569755-05:00
212,250,APPROVED,119000.00,25.558,36,"POLICY_EXCEPTION_APPROVED,COLLATERAL_OK,REVENUE_VERIFIED",l.nakamura,credit-policy-2025,145986.55,2.137,2026-03-03 18:33:47.359298-05:00,2026-03-03 18:33:52.618623-05:00
213,251,APPROVED,301000.00,8.931,24,"CREDIT_OK,TIB_OK,",k.abernathy,credit-policy-2025,590654.30,3.158,2026-02-18 11:13:11.885394-05:00,2026-02-18 11:13:20.913947-05:00
214,252,DECLINED,,,,"COLLATERAL_SHORTFALL, INDUSTRY_RESTRICTED, CREDIT_SCORE, REVENUE_BELOW_MIN",renee.blackwell,credit-policy-FINAL2,748799.93,2.171,2026-02-13 14:20:38.587696-05:00,2026-02-13 14:21:07.992875-05:00
215,253,APPROVED,195500.00,21.927,48,"REVENUE_VERIFIED,",a.castellanos,credit-policy-2025,306451.60,2.953,2026-02-13 18:29:04.714782-05:00,2026-02-13 18:29:29.996295-05:00
216,254,DECLINED,,,,"CREDIT_SCORE,NSF_ACTIVITY,UNVERIFIED_REVENUE,COLLATERAL_SHORTFALL",k.abernathy,credit-policy-FINAL2,70002.39,2.85,2026-02-11 20:53:51.087088-05:00,2026-02-11 20:54:06.808193-05:00
217,255,APPROVED,1625000.00,22.28,60,"DSCR_OK,COLLATERAL_OK",j.beaumont,credit-policy-2025,3554398.86,2.882,2026-02-12 04:02:33.095716-05:00,2026-02-12 04:02:39.702908-05:00
218,257,COUNTER_OFFER,190000.00,17.495,12,"REVENUE_VERIFIED, CREDIT_OK, DSCR_OK",c.obrien,credit-policy-FINAL2,347404.58,1.394,2026-03-01 12:22:05.313253-05:00,2026-03-01 12:22:33.260229-05:00
219,258,APPROVED,280000.00,17.685,48,"COLLATERAL_OK,DSCR_OK,POLICY_EXCEPTION_APPROVED",p.deshmukh,credit-policy-2025,487044.13,0.941,2026-02-11 16:32:55.431825-05:00,2026-02-11 16:33:22.954845-05:00
220,259,DECLINED,,,,"REVENUE_BELOW_MIN,EXISTING_DEBT",d.pham,credit-policy-2025,314343.94,1.436,2026-02-20 08:19:35.648056-05:00,2026-02-20 08:19:41.103136-05:00
221,260,APPROVED,680000.00,15.401,12,"DSCR_OK,REVENUE_VERIFIED,TIB_OK",p.deshmukh,credit-policy-FINAL2,1852061.99,2.927,2026-02-22 11:19:35.442209-05:00,2026-02-22 11:19:57.157710-05:00
222,261,APPROVED,120000.00,14.87,60,"COLLATERAL_OK,POLICY_EXCEPTION_APPROVED,REVENUE_VERIFIED",a.castellanos,credit-policy-2025,173395.26,1.712,2026-02-11 20:36:16.019241-05:00,2026-02-11 20:36:33.917847-05:00
223,262,APPROVED,97750.00,26.782,12,REVENUE_VERIFIED,p.deshmukh,credit-policy-2025,162597.17,1.13,2026-02-10 21:49:46.234427-05:00,2026-02-10 21:50:15.863318-05:00
224,263,APPROVED,290000.00,14.204,36,"COLLATERAL_OK,MANUAL_OVERRIDE_RB,POLICY_EXCEPTION_APPROVED",renee.blackwell,credit-policy-2025,616056.58,3.019,2026-02-12 18:54:54.338901-05:00,2026-02-12 18:54:58.779637-05:00
225,264,APPROVED,202500.00,21.032,48,"DSCR_OK,TIB_OK,REVENUE_VERIFIED",p.deshmukh,credit-policy-2025,997369.50,2.822,2026-03-13 19:38:43.500579-05:00,2026-03-13 19:38:59.946940-05:00
226,265,APPROVED,80500.00,23.825,24,CREDIT_OK,d.pham,credit-policy-2024,84946.09,2.904,2026-02-08 10:59:04.123331-05:00,2026-02-08 10:59:21.898727-05:00
227,266,APPROVED,41000.00,15.954,12,"COLLATERAL_OK,TIB_OK,REVENUE_VERIFIED",s.whitfield,credit-policy-2025,82948.45,0.726,2026-02-10 15:07:13.893885-05:00,2026-02-10 15:07:36.763482-05:00
228,267,DECLINED,,,,"REVENUE_BELOW_MIN,INDUSTRY_RESTRICTED,DSCR_BELOW_MIN",d.pham,credit-policy-2025,1941859.60,0.793,2026-02-08 00:47:59.565606-05:00,2026-02-08 00:48:14.824589-05:00
229,268,APPROVED,23000.00,17.704,12,"TIB_OK,",k.abernathy,credit-policy-2024,274358.20,2.079,2026-02-14 13:08:54.989719-05:00,2026-02-14 13:09:13.137120-05:00
230,269,APPROVED,164500.00,19.255,24,"CREDIT_OK, POLICY_EXCEPTION_APPROVED",p.deshmukh,credit-policy-2025,191493.48,0.796,2026-02-14 05:36:15.964641-05:00,2026-02-14 05:36:31.961258-05:00
231,270,COUNTER_OFFER,400000.00,10.312,24,DSCR_OK,a.castellanos,credit-policy-2024,563502.89,1.681,2026-02-13 09:03:37.681536-05:00,2026-02-13 09:03:44.975245-05:00
232,273,DECLINED,,,,"DSCR_BELOW_MIN,",c.obrien,credit-policy-2025,320366.27,3.354,2026-02-14 21:17:40.051650-05:00,2026-02-14 21:17:55.747474-05:00
233,274,APPROVED,85000.00,23.89,48,"CREDIT_OK, MANUAL_OVERRIDE_RB",l.nakamura,credit-policy-FINAL2,124669.06,0.852,2026-02-13 11:55:10.478563-05:00,2026-02-13 11:55:37.306199-05:00
234,275,APPROVED,105000.00,24.205,24,"COLLATERAL_OK,DSCR_OK",k.abernathy,credit-policy-2025,149226.51,2.182,2026-02-13 16:07:31.223461-05:00,2026-02-13 16:07:48.958162-05:00
235,276,DECLINED,,,,"UNVERIFIED_REVENUE,EXISTING_DEBT,INDUSTRY_RESTRICTED,COLLATERAL_SHORTFALL",k.abernathy,credit-policy-2025,82912.67,2.818,2026-02-11 04:46:27.537290-05:00,2026-02-11 04:46:54.498949-05:00
236,277,DECLINED,,,,"EXISTING_DEBT,INDUSTRY_RESTRICTED,NSF_ACTIVITY,DSCR_BELOW_MIN",c.obrien,credit-policy-2025,255596.42,2.424,2026-02-11 23:06:55.706464-05:00,2026-02-11 23:07:04.644666-05:00
237,278,DECLINED,,,,"UNVERIFIED_REVENUE,STACKED_DEBT,EXISTING_DEBT,REVENUE_BELOW_MIN",c.obrien,credit-policy-FINAL2,135099.08,2.318,2026-02-11 11:14:05.090692-05:00,2026-02-11 11:14:28.453133-05:00
238,279,APPROVED,60350.00,15.299,48,"DSCR_OK,MANUAL_OVERRIDE_RB,REVENUE_VERIFIED",s.whitfield,credit-policy-2024,108650.65,1.188,2026-02-14 03:08:54.707629-05:00,2026-02-14 03:09:18.220033-05:00
239,282,APPROVED,395500.00,10.329,48,REVENUE_VERIFIED,d.pham,credit-policy-2025,963202.66,1.167,2026-02-12 07:30:14.781066-05:00,2026-02-12 07:30:41.495245-05:00
240,283,APPROVED,108500.00,11.33,60,DSCR_OK,m.okonkwo,credit-policy-2024,181613.11,2.32,2026-02-15 08:35:42.090969-05:00,2026-02-15 08:35:43.962187-05:00
241,284,APPROVED,73950.00,17.663,24,"COLLATERAL_OK,MANUAL_OVERRIDE_RB",renee.blackwell,credit-policy-2025,99543.19,2.25,2026-02-06 23:35:14.606243-05:00,2026-02-06 23:35:32.600798-05:00
242,285,DECLINED,,,,"TIME_IN_BUSINESS,DSCR_BELOW_MIN,CREDIT_SCORE",s.whitfield,credit-policy-2024,189563.16,0.894,2026-02-12 10:06:13.386023-05:00,2026-02-12 10:06:29.069329-05:00
243,286,DECLINED,,,,"UNVERIFIED_REVENUE,CREDIT_SCORE,INDUSTRY_RESTRICTED,DSCR_BELOW_MIN",k.abernathy,credit-policy-2024,56894.24,2.758,2026-02-19 04:08:15.746888-05:00,2026-02-19 04:08:25.092267-05:00
244,287,DECLINED,,,,REVENUE_BELOW_MIN,renee.blackwell,credit-policy-FINAL2,220316.21,3.236,2026-02-18 23:21:17.868160-05:00,2026-02-18 23:21:29.104250-05:00
245,288,DECLINED,,,,"STACKED_DEBT,COLLATERAL_SHORTFALL",a.castellanos,credit-policy-2025,136914.25,2.628,2026-02-13 17:56:47.517115-05:00,2026-02-13 17:56:58.892969-05:00
246,289,COUNTER_OFFER,135000.00,15.521,36,"COLLATERAL_OK, MANUAL_OVERRIDE_RB",t.rivas,credit-policy-2025,105887.69,1.124,2026-02-15 22:24:01.440170-05:00,2026-02-15 22:24:20.942087-05:00
247,290,APPROVED,180000.00,15.105,48,REVENUE_VERIFIED,p.deshmukh,credit-policy-FINAL2,364172.44,2.384,2026-02-28 17:18:28.262523-05:00,2026-02-28 17:18:35.633021-05:00
